,FRAME,FRAME_FILE_PATH,CROP_FILE_PATH,CROP_NUM,xA,yA,xB,yB,ID,INFO
0,0,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_debug/frame_0.jpg,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_crop/frame_0_crop_0.jpg,0,145,9,289,297,,
1,0,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_debug/frame_0.jpg,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_crop/frame_0_crop_1.jpg,1,375,100,471,292,,
2,0,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_debug/frame_0.jpg,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_crop/frame_0_crop_2.jpg,2,449,96,545,288,,
3,0,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_debug/frame_0.jpg,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_crop/frame_0_crop_3.jpg,3,260,77,356,269,,
4,1,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_debug/frame_1.jpg,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_crop/frame_1_crop_0.jpg,0,460,47,604,335,,
5,1,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_debug/frame_1.jpg,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_crop/frame_1_crop_1.jpg,1,310,47,454,335,,
6,1,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_debug/frame_1.jpg,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_crop/frame_1_crop_2.jpg,2,135,20,279,308,,
7,2,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_debug/frame_2.jpg,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_crop/frame_2_crop_0.jpg,0,457,58,601,346,,
8,2,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_debug/frame_2.jpg,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_crop/frame_2_crop_1.jpg,1,337,58,481,346,,
9,2,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_debug/frame_2.jpg,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_crop/frame_2_crop_2.jpg,2,150,81,246,273,,
10,3,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_debug/frame_3.jpg,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_crop/frame_3_crop_0.jpg,0,295,50,439,338,,
11,3,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_debug/frame_3.jpg,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_crop/frame_3_crop_1.jpg,1,485,47,629,335,,
12,3,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_debug/frame_3.jpg,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_crop/frame_3_crop_2.jpg,2,138,19,282,307,,
13,4,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_debug/frame_4.jpg,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_crop/frame_4_crop_0.jpg,0,347,71,491,359,,
14,4,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_debug/frame_4.jpg,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_crop/frame_4_crop_1.jpg,1,144,9,288,297,,
15,4,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_debug/frame_4.jpg,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_crop/frame_4_crop_2.jpg,2,445,93,541,285,,
16,4,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_debug/frame_4.jpg,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_crop/frame_4_crop_3.jpg,3,253,79,349,271,,
17,5,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_debug/frame_5.jpg,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_crop/frame_5_crop_0.jpg,0,47,121,143,313,,
18,5,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_debug/frame_5.jpg,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_crop/frame_5_crop_1.jpg,1,398,20,542,308,,
19,5,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_debug/frame_5.jpg,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_crop/frame_5_crop_2.jpg,2,141,6,285,294,,
20,5,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_debug/frame_5.jpg,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_crop/frame_5_crop_3.jpg,3,328,95,424,287,,
21,5,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_debug/frame_5.jpg,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_crop/frame_5_crop_4.jpg,4,236,82,332,274,,
22,6,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_debug/frame_6.jpg,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_crop/frame_6_crop_0.jpg,0,322,6,538,438,,
23,6,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_debug/frame_6.jpg,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_crop/frame_6_crop_1.jpg,1,215,69,359,357,,
24,6,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_debug/frame_6.jpg,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_crop/frame_6_crop_2.jpg,2,465,60,609,348,,
25,6,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_debug/frame_6.jpg,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_crop/frame_6_crop_3.jpg,3,152,81,248,273,,
26,7,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_debug/frame_7.jpg,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_crop/frame_7_crop_0.jpg,0,141,13,285,301,,
27,7,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_debug/frame_7.jpg,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_crop/frame_7_crop_1.jpg,1,490,97,586,289,,
28,7,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_debug/frame_7.jpg,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_crop/frame_7_crop_2.jpg,2,446,94,542,286,,
29,7,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_debug/frame_7.jpg,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_crop/frame_7_crop_3.jpg,3,286,88,382,280,,
30,7,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_debug/frame_7.jpg,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_crop/frame_7_crop_4.jpg,4,364,85,460,277,,
31,8,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_debug/frame_8.jpg,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_crop/frame_8_crop_0.jpg,0,9,51,153,339,,
32,8,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_debug/frame_8.jpg,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_crop/frame_8_crop_1.jpg,1,141,11,285,299,,
33,8,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_debug/frame_8.jpg,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_crop/frame_8_crop_2.jpg,2,214,3,358,291,,
34,8,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_debug/frame_8.jpg,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_crop/frame_8_crop_3.jpg,3,335,94,431,286,,
35,8,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_debug/frame_8.jpg,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_crop/frame_8_crop_4.jpg,4,385,93,481,285,,
36,8,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_debug/frame_8.jpg,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_crop/frame_8_crop_5.jpg,5,430,91,526,283,,
37,9,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_debug/frame_9.jpg,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_crop/frame_9_crop_0.jpg,0,488,54,632,342,,
38,9,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_debug/frame_9.jpg,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_crop/frame_9_crop_1.jpg,1,374,48,518,336,,
39,9,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_debug/frame_9.jpg,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_crop/frame_9_crop_2.jpg,2,149,80,245,272,,
40,10,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_debug/frame_10.jpg,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_crop/frame_10_crop_0.jpg,0,434,48,578,336,,
41,10,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_debug/frame_10.jpg,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_crop/frame_10_crop_1.jpg,1,325,42,469,330,,
42,10,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_debug/frame_10.jpg,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_crop/frame_10_crop_2.jpg,2,133,12,277,300,,
43,11,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_debug/frame_11.jpg,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_crop/frame_11_crop_0.jpg,0,279,38,423,326,,
44,11,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_debug/frame_11.jpg,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_crop/frame_11_crop_1.jpg,1,498,36,640,324,,
45,11,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_debug/frame_11.jpg,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_crop/frame_11_crop_2.jpg,2,141,8,285,296,,
46,12,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_debug/frame_12.jpg,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_crop/frame_12_crop_0.jpg,0,279,40,423,328,,
