,0,1,2,3,4,5,6,7,8,9,10
0,0,0,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_debug/frame_0.jpg,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_crop/frame_0_crop_0.jpg,0,145,9,289,297,albert 0.99,"albert: 0.99492, anna: 0.94470, bob: 0.10036, carla: 0.90325, "
1,1,0,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_debug/frame_0.jpg,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_crop/frame_0_crop_1.jpg,1,375,100,471,292,anna 0.99,"albert: 0.94470, anna: 0.99492, bob: 0.81117, carla: 0.79426, "
2,2,0,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_debug/frame_0.jpg,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_crop/frame_0_crop_2.jpg,2,449,96,545,288,carla 0.99,"albert: 0.90325, anna: 0.79426, bob: 0.98020, carla: 0.99492, "
3,3,0,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_debug/frame_0.jpg,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_crop/frame_0_crop_3.jpg,3,260,77,356,269,bob 0.99,"albert: 0.10036, anna: 0.81117, bob: 0.99492, carla: 0.98020, "
4,4,1,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_debug/frame_1.jpg,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_crop/frame_1_crop_0.jpg,0,460,47,604,335,carla 0.97,"albert: 0.69784, anna: 0.96497, bob: 0.96349, carla: 0.96949, "
5,5,1,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_debug/frame_1.jpg,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_crop/frame_1_crop_1.jpg,1,310,47,454,335,bob 0.98,"albert: 0.56354, anna: 0.87849, bob: 0.97627, carla: 0.96607, "
6,6,1,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_debug/frame_1.jpg,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_crop/frame_1_crop_2.jpg,2,135,20,279,308,albert 0.99,"albert: 0.98892, anna: 0.91467, bob: 0.39139, carla: 0.92773, "
7,7,2,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_debug/frame_2.jpg,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_crop/frame_2_crop_0.jpg,0,457,58,601,346,bob 0.99,"albert: 0.71315, anna: 0.90242, bob: 0.98941, carla: 0.98393, "
8,8,2,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_debug/frame_2.jpg,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_crop/frame_2_crop_1.jpg,1,337,58,481,346,anna 0.99,"albert: 0.67596, anna: 0.98502, bob: 0.83599, carla: 0.90114, "
9,9,2,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_debug/frame_2.jpg,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_crop/frame_2_crop_2.jpg,2,150,81,246,273,albert 0.98,"albert: 0.97964, anna: 0.68981, bob: 0.27605, carla: 0.92210, "
10,10,3,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_debug/frame_3.jpg,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_crop/frame_3_crop_0.jpg,0,295,50,439,338,bob 0.97,"albert: 0.58379, anna: 0.71431, bob: 0.96818, carla: 0.91965, "
11,11,3,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_debug/frame_3.jpg,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_crop/frame_3_crop_1.jpg,1,485,47,629,335,anna 0.98,"albert: 0.68804, anna: 0.97704, bob: 0.94656, carla: 0.96038, "
12,12,3,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_debug/frame_3.jpg,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_crop/frame_3_crop_2.jpg,2,138,19,282,307,albert 0.99,"albert: 0.99032, anna: 0.95856, bob: 0.39991, carla: 0.93049, "
13,13,4,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_debug/frame_4.jpg,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_crop/frame_4_crop_0.jpg,0,347,71,491,359,bob 0.94,"albert: 0.53369, anna: 0.71913, bob: 0.94168, carla: 0.89265, "
14,14,4,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_debug/frame_4.jpg,video_result/cvpr10_tud_stadtmitte/frame_detection/frame_detection_crop/frame_4_crop_1.jpg,1,144,9,288,297,albert 0.99,"albert: 0.99455, anna: 0.94824, bob: 0.08879, carla: 0.90513, "
