,0,1,2,3,4,5,6,7,8,9,10
0,0,49,video_result/ex_02/frame_detection/frame_detection_debug/frame_49.jpg,video_result/ex_02/frame_detection/frame_detection_crop/frame_49_crop_0.jpg,0,512,358,608,550,dave 0.99,"leo: 0.96221, dave: 0.99460, "
1,1,53,video_result/ex_02/frame_detection/frame_detection_debug/frame_53.jpg,video_result/ex_02/frame_detection/frame_detection_crop/frame_53_crop_0.jpg,0,522,349,618,541,dave 0.99,"leo: 0.96594, dave: 0.99407, "
2,2,55,video_result/ex_02/frame_detection/frame_detection_debug/frame_55.jpg,video_result/ex_02/frame_detection/frame_detection_crop/frame_55_crop_0.jpg,0,525,344,621,536,dave 0.99,"leo: 0.95605, dave: 0.99436, "
3,3,56,video_result/ex_02/frame_detection/frame_detection_debug/frame_56.jpg,video_result/ex_02/frame_detection/frame_detection_crop/frame_56_crop_0.jpg,0,527,342,623,534,dave 0.99,"leo: 0.96634, dave: 0.99440, "
4,4,59,video_result/ex_02/frame_detection/frame_detection_debug/frame_59.jpg,video_result/ex_02/frame_detection/frame_detection_crop/frame_59_crop_0.jpg,0,532,338,628,530,dave 0.99,"leo: 0.94935, dave: 0.99387, "
5,5,60,video_result/ex_02/frame_detection/frame_detection_debug/frame_60.jpg,video_result/ex_02/frame_detection/frame_detection_crop/frame_60_crop_0.jpg,0,536,332,632,524,dave 0.99,"leo: 0.95809, dave: 0.99384, "
6,6,62,video_result/ex_02/frame_detection/frame_detection_debug/frame_62.jpg,video_result/ex_02/frame_detection/frame_detection_crop/frame_62_crop_0.jpg,0,538,327,634,519,dave 0.99,"leo: 0.95477, dave: 0.99474, "
7,7,63,video_result/ex_02/frame_detection/frame_detection_debug/frame_63.jpg,video_result/ex_02/frame_detection/frame_detection_crop/frame_63_crop_0.jpg,0,541,323,637,515,dave 0.99,"leo: 0.95602, dave: 0.99458, "
8,8,64,video_result/ex_02/frame_detection/frame_detection_debug/frame_64.jpg,video_result/ex_02/frame_detection/frame_detection_crop/frame_64_crop_0.jpg,0,540,321,636,513,dave 0.99,"leo: 0.95755, dave: 0.99434, "
9,9,65,video_result/ex_02/frame_detection/frame_detection_debug/frame_65.jpg,video_result/ex_02/frame_detection/frame_detection_crop/frame_65_crop_0.jpg,0,541,320,637,512,dave 0.99,"leo: 0.94521, dave: 0.99356, "
10,10,66,video_result/ex_02/frame_detection/frame_detection_debug/frame_66.jpg,video_result/ex_02/frame_detection/frame_detection_crop/frame_66_crop_0.jpg,0,541,320,637,512,dave 0.99,"leo: 0.94183, dave: 0.99286, "
11,11,67,video_result/ex_02/frame_detection/frame_detection_debug/frame_67.jpg,video_result/ex_02/frame_detection/frame_detection_crop/frame_67_crop_0.jpg,0,542,310,638,502,dave 1.00,"leo: 0.93383, dave: 0.99552, "
12,12,68,video_result/ex_02/frame_detection/frame_detection_debug/frame_68.jpg,video_result/ex_02/frame_detection/frame_detection_crop/frame_68_crop_0.jpg,0,541,307,637,499,dave 1.00,"leo: 0.93259, dave: 0.99577, "
13,13,69,video_result/ex_02/frame_detection/frame_detection_debug/frame_69.jpg,video_result/ex_02/frame_detection/frame_detection_crop/frame_69_crop_0.jpg,0,542,304,638,496,dave 1.00,"leo: 0.92607, dave: 0.99589, "
14,14,70,video_result/ex_02/frame_detection/frame_detection_debug/frame_70.jpg,video_result/ex_02/frame_detection/frame_detection_crop/frame_70_crop_0.jpg,0,542,302,638,494,dave 1.00,"leo: 0.93402, dave: 0.99614, "
15,15,70,video_result/ex_02/frame_detection/frame_detection_debug/frame_70.jpg,video_result/ex_02/frame_detection/frame_detection_crop/frame_70_crop_1.jpg,1,3,145,67,273,dave 1.00,"leo: 0.98850, dave: 0.99710, "
16,16,71,video_result/ex_02/frame_detection/frame_detection_debug/frame_71.jpg,video_result/ex_02/frame_detection/frame_detection_crop/frame_71_crop_0.jpg,0,542,301,638,493,dave 1.00,"leo: 0.92822, dave: 0.99628, "
17,17,71,video_result/ex_02/frame_detection/frame_detection_debug/frame_71.jpg,video_result/ex_02/frame_detection/frame_detection_crop/frame_71_crop_1.jpg,1,7,144,71,272,dave 0.99,"leo: 0.98184, dave: 0.99468, "
